heading,link,price,rating,reviews
Presto! Oxo-Biodegradable Garbage Bags Medium - 30 Bags/Roll (Pack of 3 Green For Wet Waste plastic),https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B08TD6BN7Y,209,4.3 out of 5 stars,"1,200"
ADISA Light Weight Laptop Backpack 32 Ltrs,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ,449,4.0 out of 5 stars,"6,220"
Half Moon 30L Water Resistant 15.6 inch Laptop Bag/Backpack for Men | School Bag for Boys Girls | Office Bag pack for Men/Office Back Packed for Women with Padded Laptop Compartment,https://www.amazon.in/Half-Moon-Laptop-Backpack-Polyester/dp/B09CMS3K2S,459,3.6 out of 5 stars,113
URBAN TRIBE Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black 27L,https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF,918,3.9 out of 5 stars,821
HP 320 15.6-inch Backpacks/Trolley Pass-Through; Padded Back Panel; Padded air mesh Panel/Hand wash and air Dry/Padded Laptop Pocket/1 Year Limited Warranty (793A6AA),https://www.amazon.in/HP-15-6-inch-Backpacks-Pass-Through-793A6AA/dp/B0BYDXVM5Q,599,3.9 out of 5 stars,64
TRAWOC 80L Travel Backpack for Outdoor Sport Camp Hiking Trekking Bag Camping Rucksack HK007 (PARENT) 1 Year Warranty,https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM,"2,246",4.4 out of 5 stars,"7,714"
Presto! Oxo-Biodegradable Garbage Bags Large (24 x 32 inches) - 15 bags/roll (Pack of 6 Black plastic),https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK,299,4.3 out of 5 stars,"10,328"
ADISA 31 Ltrs Casual Backpack School College Bag Pack,https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM,349,3.9 out of 5 stars,357
Half Moon 40L Waterproof Laptop Bag | Rucksack Bags for Men/Trekking Bags for Men | With Laptop Compartment & Rain cover | For Trekking Hiking Travel Backpack for Men & Women,https://www.amazon.in/Half-Moon-Rucksack-Bags-Compartment/dp/B09S14TTG6,689,3.8 out of 5 stars,148
Lavie Women's Odiase Medium Satchel Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Odiase-Womens-Satchel-Handbag/dp/B08SW9RJ75,"1,249",4.1 out of 5 stars,"2,405"
Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.,https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2GPWJ,349,3.8 out of 5 stars,296
Wildcraft 18 ltrs (7 Cms) backpack(204493566_black),https://www.amazon.in/Wildcraft-ltrs-Cms-backpack-204493566_black/dp/B07GNGG435,"2,095",4.1 out of 5 stars,189
Gear Campus8 25L Medium Water Resistant School Bag/Casual Backpack/Daypack/College Bag/for Men/Women - Green Grey,https://www.amazon.in/Gear-Classic-Casual-Backpack-BKPCAMPS80304/dp/B019FBEJCO,595,4.1 out of 5 stars,"1,293"
Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ,843,3.6 out of 5 stars,"1,046"
Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67,549,3.7 out of 5 stars,163
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF,399,3.9 out of 5 stars,"1,404"
Bennett Khadi and Polyester Drax Laptop Bag Sleeve Case Cover Pouch for 15/15.6 inches Laptop Apple/Dell/Lenovo/ASUS/Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/Idea Pad/Surfacepro for Laptops (Blue),https://www.amazon.in/Bennett-Polyester-Drax-Ultrabook-Surfacepro/dp/B091NZ9MYB,257,4.1 out of 5 stars,"4,359"
Presto! Oxo-Biodegradable Garbage Bags XL (30 x 37 inches) - 10 bags/roll (Pack of 6 Black plastic),https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821QGBDY,389,4.3 out of 5 stars,"2,112"
Frantic Velvet Kids School/Nursery/Picnic/Carry/Travelling Bag - 2 to 5 Year Age,https://www.amazon.in/Frantic-Velvet-School-Nursery-Travelling/dp/B09176PYDR,259,3.8 out of 5 stars,"3,437"
Frantic Soft Cartoon Animal Velvet Plush School Backpack Bag For 2 To 5 Years Boys/Girls - Nursery Preschool Picnic,https://www.amazon.in/Frantic-Cartoon-Velvet-Preschool-Nursery/dp/B09KY5541N,289,3.8 out of 5 stars,"6,067"
ZaySoo Stylish Casual Laptop Backpack/Office Bag/College Bag/Business Bag/Travel Backpack - Navyblue,https://www.amazon.in/ZaySoo-Stylish-Backpack-College-Business/dp/B0BVZL49N8,307,5.0 out of 5 stars,2
Red Lemon Bange Hard Ironlook Briefcase Laptop Bag Anti-Theft Hard Shell Unisex Laptop Backpack with USB Charging Backpack for Men and Women,https://www.amazon.in/Red-Lemon-Ironlook-Briefcase-Anti-Theft/dp/B09ZYMT7V1,"4,897",4.4 out of 5 stars,117
Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.,https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2Q52R,349,3.8 out of 5 stars,296
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3S5NC1,540,4.0 out of 5 stars,"1,119"
ADISA 15.6 inch laptop backpack office bag college travel back pack 32 Ltrs,https://www.amazon.in/ADISA-Laptop-Backpack-College-z-Black/dp/B09TPY1G1W,399,3.9 out of 5 stars,"1,404"
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 15.6"" laptop) 30 L Charcoal black",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV,499,4.3 out of 5 stars,"13,254"
Skybags Cardiff Polyester 55 Cms Travel Duffle Bag (Blue),https://www.amazon.in/Skybags-Cardiff-Polyester-Travel-DFCAR55BLU/dp/B073JYDK7P,"1,099",4.2 out of 5 stars,"9,964"
Presto! Oxo-Biodegradable Garbage Bags Small - 30 bags/roll (Pack of 6 plastic Black),https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PKWBW,259,4.3 out of 5 stars,"15,933"
Tetley Green Tea Lemon And Honey 100 Tea Bags 140 Grams,https://www.amazon.in/Tetley-Green-Lemon-Honey-Bags/dp/B00MGFZGVK,421,4.3 out of 5 stars,"51,918"
Zebronics Techshield A1 18 Liters 1 Compartment Laptop Backpack and Front Pocket fit Up to 15.6-inch Laptop Polyester Fabric Office Use and Mini Business Travel Bags (Black),https://www.amazon.in/Zebronics-Techshield-Compartment-15-6-inch-Polyester/dp/B0C6QTMYFG,498,3.6 out of 5 stars,12
HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,https://www.amazon.in/HAMMONDS-FLYCATCHER-Laptop-Bag-Men/dp/B083M1QK32,"4,716",4.4 out of 5 stars,590
NORTH ZONE 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),https://www.amazon.in/NORTH-ZONE-Restant-Office-Backpack/dp/B0CJ38KTFS,449,4.5 out of 5 stars,2
Street27® Korean Canvas Corduroy Tote Bag Casual Work Shoulder Handbags | Multi-Purpose Bag |Sturdy Canvas Bag with Large Capacity | Shopping Bag for Office College & Daily Use,https://www.amazon.in/Street27%C2%AE-Canvas-Corduroy-Tote-Multi-Purpose/dp/B0BQCBHJLP,474,4.0 out of 5 stars,140
"WildHorn 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB,599,4.1 out of 5 stars,"1,982"
TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptopofficecollegetravel bag for men and women(Epower),https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR,499,3.7 out of 5 stars,466
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVCBFM7,449,3.8 out of 5 stars,506
Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments Water Resistant Fabric - Black (SNAP19CBBLK),https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27CYC4,999,3.8 out of 5 stars,355
Delrin LED Backpack with APP Working Laptop Bag Motorcycle Riding Backpack Waterproof Backpack with Programmable and Color Screen Travel Backpack 25 ltrs (48 Cms) (Black),https://www.amazon.in/Delrin-Backpack-Motorcycle-Waterproof-Programmable/dp/B0CBSGG3LX,"18,219.",5.0 out of 5 stars,2
amazon basics Vacuum Compression Storage Bags with Hand Pump - Medium 5-Pack,https://www.amazon.in/AmazonBasics-Vacuum-Compression-Storage-Medium/dp/B07RTJV6G4,499,4.4 out of 5 stars,"7,822"
Dell Essential Backpack 15 (ES1520P),https://www.amazon.in/Dell-Essential-Backpack-15-ES1520P/dp/B07TTCXHRH,"1,036",4.0 out of 5 stars,"6,897"
Swiss Military Hard Shell Travel Backpack UFO Alien Series Dimond Cut ABS Hardshell upto 15.6 Inch Laptop,https://www.amazon.in/Swiss-Military-Travel-Backpack-Hardshell/dp/B0C3MG4MJG,"3,299",3.7 out of 5 stars,24
Safari Sheild 26 Ltrs Water Resistant Casual Backpack - (SHEILD19CBBLK),https://www.amazon.in/Safari-Sheild-Resistant-Casual-Backpack/dp/B09B28M2RN,649,4.0 out of 5 stars,602
Puma Unisex Duffle Bag IND,https://www.amazon.in/Puma-Carry-Unisex-Duffel-Bag/dp/B089T8PKSQ,"1,049",4.0 out of 5 stars,404
ZOUK Women Laptop Bag Royal Indian Peacock Motif,https://www.amazon.in/ZOUK-Handmade-Leather-Handles-Multicolor/dp/B09QRYDXJH,"1,529",4.4 out of 5 stars,180
motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue),https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ,"1,399",4.5 out of 5 stars,"2,690"
RIGHT CHOICE quality stylish casual backpack daily use unisex typography college bags (Boys and Girls),https://www.amazon.in/Right-Choice-Stylish-College-Backpack/dp/B07ZVXDHCK,299,3.5 out of 5 stars,"1,013"
FATMUG Polyester Foldable Duffle Travel Bag Luggage For Travel Packing And Storage - Men And Women - (60 L Black),https://www.amazon.in/FATMUG-Foldable-Luggage-Packing-Storage/dp/B07YFNXC3H,"1,099",4.2 out of 5 stars,"1,533"
WildHorn Leather Messenger Bag for Men/Office Bag for Men I Padded Laptop Compartment with Adjustable Strap I DIMENSION : L-14 inch W-3 inch H-11 inch,https://www.amazon.in/WILDHORN-Leather-inches-Messenger-MB570/dp/B07M9NKYVK,"2,309",3.9 out of 5 stars,266
NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QM2GD,542,4.0 out of 5 stars,780
American Tourister Valex 28 Ltrs Large Laptop Backpack with Bottle Pocket and Front Organizer- Black,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF,"1,399",4.3 out of 5 stars,"1,351"
F Gear 22 Ltrs Burner Art Lthr Brown Laptop Backpack (3343),https://www.amazon.in/F-Gear-Burner-Art-Lthr-Laptop-Backpack/dp/B085QWJVCZ,870,4.3 out of 5 stars,400
Murano Louis 10ltr Casual daybackpack/Office & Travel Bag/School Bag/College Bag/Men/Women/Girl/Boy (Dark Grey),https://www.amazon.in/Murano-Casual-daybackpack-Office-College/dp/B0BX9GLFD6,189,3.4 out of 5 stars,143
LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BZW8KW18,429,3.5 out of 5 stars,146
Fastrack Women's Sling Bag (Black),https://www.amazon.in/Fastrack-Womens-Sling-Bag-Black/dp/B07MGXR7LT,"1,345",4.0 out of 5 stars,80
Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BYW5SH4L,459,4.3 out of 5 stars,17
Shalimar Premium OXO - Biodegradable Garbage Bags Size 24 X 32 Inches (Large) 90 Bags (6 Rolls) Dustbin Bag/Trash Bag - Black Color,https://www.amazon.in/Shalimar-Premium-Garbage-Large-Dustbin/dp/B01NC2R52J,454,4.5 out of 5 stars,"4,478"
Ross Heating Bag Hot Water Bags for Pain Relief Heating Pad-Heat Pouch Hot Water Bottle Bag Electric Hot Water Bag Heating Pad for Pain Relief- with Hand Warmer Pockets (Assorted Colors),https://www.amazon.in/Ross-Heating-Pad-Heat-Electric-Assorted/dp/B0CJJKSXW1,199,4.7 out of 5 stars,22
EXOTIC Women's Sling Bag,https://www.amazon.in/Exotic-Sling-Womens-Girls-Grey/dp/B092VSZ69M,450,4.2 out of 5 stars,"2,750"
Gear Superior 16L Small Water Resistant School Bag//Casual Backpack/ Daypack/College Bag for Men/Women - Black,https://www.amazon.in/Gear-Superior-Casual-Backpack-BKPSPRIOR0001/dp/B08GY2ZN96,299,3.9 out of 5 stars,385
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack,https://www.amazon.in/Safari-45L-21-OB-BLK/dp/B07BZ5VC4H,"2,299",4.5 out of 5 stars,"7,744"
Amazon Basics Laptop Bag for 15.6 Inch Laptops | College/Travel Backpack with USB Charging Port and Anti-Theft Pocket | 23 L,https://www.amazon.in/Laptops-College-Backpack-Charging-Anti-Theft/dp/B0C6639P8P,"1,009",4.4 out of 5 stars,138
TRAWOC 60 Liter Travel Backpack Hiking Trekking Bag Camping Rucksack 1 Year Warranty HK006,https://www.amazon.in/TRAWOC-60LTravel-Backpack-Trekking-Rucksack/dp/B07YYG5G31,"1,567",4.3 out of 5 stars,"1,446"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BHX7GY16,689,3.9 out of 5 stars,"3,857"
SFANE Polyester Red Duffel Gym Bag Shoulder Bag Sports Bag for Men & Women with Separate Shoe Compartment (Black) (Red) Set Of 1,https://www.amazon.in/SFANE-Polyester-Shoulder-Separate-Compartment/dp/B08KG7J7L5,365,4.3 out of 5 stars,503
Impulse Diggy 35L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,https://www.amazon.in/Impulse-Diggy-Backpack-Resistant-Green/dp/B0CJHVCZZV,399,4.0 out of 5 stars,22
Fur Jaden 25L Travel Duffle Bag for Weekend Trip Cabin Luggage and Gym Sports Duffle for Men and Women,https://www.amazon.in/Travel-Duffle-Weekend-Luggage-Sports/dp/B086PYLWS3,629,4.1 out of 5 stars,964
Amazon Basics 20 ltrs Casual/Travel/College Backpack for 15.6-inch Laptop | Water Resistant Fabric,https://www.amazon.in/Amazon-Basics-Casual-Backpack-15-6-inch/dp/B09W4WJ1CB,359,4.0 out of 5 stars,420
DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M,346,4.0 out of 5 stars,"5,547"
URBAN WOLF 30L Casual Dual Compartment Water Resistant Laptop Backpack Unisex Bags for Office/Travel/Business/College/School (Black),https://www.amazon.in/Business-Casual-Compartment-Resistant-Backpack/dp/B08N6HSJJ5,749,3.9 out of 5 stars,"1,016"
Amazon Basics Laptop Bag with USB Charging Port Rain Cover and Reflective Strip for College Office Travel (Unisex 35 L Blue),https://www.amazon.in/Bag-Charging-Reflective-College-Blue/dp/B0C4L2KX2W,799,3.9 out of 5 stars,193
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,https://www.amazon.in/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18,529,3.5 out of 5 stars,357
amazon basics PlasticVacuum Compression Storage Bags With Hand Pump - 6-Pack (2 Jumbo 2 Large 2 Medium),https://www.amazon.in/AmazonBasics-Vacuum-Compression-Storage-Bags/dp/B07RP7WHHY,749,4.4 out of 5 stars,"9,288"
Bennett™ Mystic Unisex Adult Men's Laptop Bag 15.6 inch Side Shoulder Briefcase Satchel Messenger Business Bags for Men & Women Front Pocket for Laptop Accessories - Black (6 Month Warranty),https://www.amazon.in/BennettTM-Shoulder-Messenger-Repellent-Charcoal/dp/B09CV24TMK,452.,4.0 out of 5 stars,"6,881"
Nivia Polyester Pulse Bag,https://www.amazon.in/Nivia-5227-Junior-Others-Orange/dp/B08D7QKCX5,229,3.6 out of 5 stars,57
WildHorn Leather Laptop Messenger Bag for Men,https://www.amazon.in/WildHorn-Leather-Brown-Laptop-Briefcase/dp/B01HBKKSTO,"2,349",4.1 out of 5 stars,267
GLUN® Round Shape Foldable Laundry Bag Capacity of 45 Ltr Non Woven Toys and Cloth Bag Grey and Black Combination Pack of 1,https://www.amazon.in/Foldable-Laundry-Capacity-Quality-Combination/dp/B0BRFRVQMX,161,3.9 out of 5 stars,119
Amazon Brand – Eono Reusable Tote Bags 100% Organic Cotton Shopping/Grocery Bag Multi-Purpose Bag Sturdy Canvas Bag With 15kgs Capacity Single Pack (Good Vibes),https://www.amazon.in/Amazon-Brand-Reusable-Eco-Friendly-Multi-Purpose/dp/B08TTMMGYT,179,3.8 out of 5 stars,"1,232"
